moduleId,tDiff,tSync,timeOffsetL,timeOffsetR,effectiveSpeed,pedestalL,pedestalR,energyGainL,energyGainR,lightAtt,PMTSatL,PMTSatR,PMTThresL,PMTThresR
800,-4.82978,58.3762,-55.9613,-60.7911,-8.0538,19,14,19.0837,17.557,268.897,0.0333965,0.0307247,1.26617,1.5234
801,97.3139,14.5665,-63.2234,34.0905,-7.90636,18,17,18.0307,19.886,256.47,0.0315537,0.0348006,1.29691,1.24699
802,98.0372,12.0116,-61.0302,37.007,-8.13411,14,15,17.8418,17.1932,301.114,0.0312232,0.0300881,1.33385,1.24813
803,98.4383,13.0461,-62.2652,36.1731,-8.05279,16,16,16.7239,16.9692,296.769,0.0292668,0.029696,1.11343,1.15241
804,98.0099,14.0083,-63.0133,34.9967,-8.12345,16,13,16.2042,16.5249,320.829,0.0283574,0.0289185,1.25502,1.22718
805,100.873,11.0506,-61.4874,39.3861,-8.11649,14,18,16.2741,15.7454,322.76,0.0284796,0.0275545,1.16408,1.07531
806,100.925,11.4246,-61.887,39.0379,-8.04638,17,14,18.5509,18.6758,279.586,0.0324641,0.0326826,0.939792,1.05476
807,98.9207,12.3087,-61.7691,37.1517,-8.02543,14,16,18.0385,17.3787,289.076,0.0315673,0.0304128,0.877117,1.06839
808,98.957,11.9833,-61.4618,37.4952,-8.04486,15,15,18.4926,18.0035,283.589,0.0323621,0.0315062,1.02905,1.09322
809,98.4974,11.8675,-61.1162,37.3812,-7.97376,21,16,18.1864,20.4364,256.868,0.0318262,0.0357638,0.896653,1.04934
810,102.153,10.9735,-62.0501,40.1031,-8.0826,18,13,17.9631,19.0751,285.251,0.0314354,0.0333814,0.936706,1.02799
811,95.9315,11.1508,-59.1165,36.8149,-8.01014,16,18,17.1482,18.4296,276.748,0.0300094,0.0322518,1.02131,1.05099
812,95.4445,9.54522,-57.2675,38.177,-8.12797,13,15,16.9411,17.5277,301.712,0.0296469,0.0306735,1.2321,1.20723
813,98.4745,11.7664,-61.0037,37.4708,-7.93557,17,15,16.3711,16.0598,296.903,0.0286494,0.0281046,1.14323,1.22977
814,96.0454,11.8746,-59.8972,36.1481,-8.03943,15,15,20.0425,20.1594,272.56,0.0350744,0.0352789,0.994386,1.04544
815,99.6411,11.7401,-61.5607,38.0805,-8.00762,19,15,16.6911,17.4054,288.566,0.0292094,0.0304594,1.09475,1.08033
816,96.7104,10.8249,-59.1801,37.5303,-8.02464,16,15,17.528,17.6797,281.461,0.0306739,0.0309395,1.08781,1.14707
817,100.228,11.4492,-61.5631,38.6647,-8.00108,18,17,15.8467,16.2162,297.895,0.0277318,0.0283783,1.20149,1.18446
818,97.97,10.1926,-59.1776,38.7924,-8.03553,12,17,19.566,18.6429,271.493,0.0342404,0.0326251,1.13166,1.07577
819,99.1674,9.99611,-59.5798,39.5876,-8.07759,15,15,17.1031,17.4494,290.59,0.0299304,0.0305364,1.08127,1.18042
820,97.4841,11.2851,-60.0271,37.4569,-8.05995,13,24,17.6058,17.2205,291.832,0.0308101,0.0301358,1.17176,0.89595
